  phase   passband   delta    dm15       mag  
   11.0       desr   -0.32   +0.88   -19.177  
   12.0       desr   -0.32   +0.88   -19.097  
   13.0       desr   -0.32   +0.88   -19.025  
   14.0       desr   -0.32   +0.88   -18.963  
   15.0       desr   -0.32   +0.88   -18.917  
   16.0       desr   -0.32   +0.88   -18.895  
   17.0       desr   -0.32   +0.88   -18.874  
   18.0       desr   -0.32   +0.88   -18.856  
   19.0       desr   -0.32   +0.88   -18.848  
   20.0       desr   -0.32   +0.88   -18.839  
   21.0       desr   -0.32   +0.88   -18.824  
   22.0       desr   -0.32   +0.88   -18.805  
   23.0       desr   -0.32   +0.88   -18.789  
   24.0       desr   -0.32   +0.88   -18.777  
   25.0       desr   -0.32   +0.88   -18.766  
   26.0       desr   -0.32   +0.88   -18.752  
   27.0       desr   -0.32   +0.88   -18.734  
   28.0       desr   -0.32   +0.88   -18.710  
   29.0       desr   -0.32   +0.88   -18.680  
   30.0       desr   -0.32   +0.88   -18.643  
   31.0       desr   -0.32   +0.88   -18.597  
   32.0       desr   -0.32   +0.88   -18.544  
   33.0       desr   -0.32   +0.88   -18.486  
   34.0       desr   -0.32   +0.88   -18.425  
   35.0       desr   -0.32   +0.88   -18.362  
   36.0       desr   -0.32   +0.88   -18.298  
   37.0       desr   -0.32   +0.88   -18.233  
   38.0       desr   -0.32   +0.88   -18.172  
   39.0       desr   -0.32   +0.88   -18.115  
   40.0       desr   -0.32   +0.88   -18.062  
   41.0       desr   -0.32   +0.88   -18.014  
   42.0       desr   -0.32   +0.88   -17.970  
   43.0       desr   -0.32   +0.88   -17.928  
   44.0       desr   -0.32   +0.88   -17.889  
   45.0       desr   -0.32   +0.88   -17.850  
   46.0       desr   -0.32   +0.88   -17.813  
   47.0       desr   -0.32   +0.88   -17.775  
   48.0       desr   -0.32   +0.88   -17.737  
   49.0       desr   -0.32   +0.88   -17.702  
   50.0       desr   -0.32   +0.88   -17.665  
   51.0       desr   -0.32   +0.88   -17.629  
   52.0       desr   -0.32   +0.88   -17.595  
   53.0       desr   -0.32   +0.88   -17.563  
   54.0       desr   -0.32   +0.88   -17.533  
   55.0       desr   -0.32   +0.88   -17.504  
   56.0       desr   -0.32   +0.88   -17.475  
   57.0       desr   -0.32   +0.88   -17.447  
   58.0       desr   -0.32   +0.88   -17.420  
   59.0       desr   -0.32   +0.88   -17.391  
   60.0       desr   -0.32   +0.88   -17.361  
   61.0       desr   -0.32   +0.88   -17.329  
   62.0       desr   -0.32   +0.88   -17.298  
   63.0       desr   -0.32   +0.88   -17.267  
   64.0       desr   -0.32   +0.88   -17.236  
   65.0       desr   -0.32   +0.88   -17.206  
   66.0       desr   -0.32   +0.88   -17.177  
   67.0       desr   -0.32   +0.88   -17.149  
   68.0       desr   -0.32   +0.88   -17.121  
   69.0       desr   -0.32   +0.88   -17.094  
   70.0       desr   -0.32   +0.88   -17.065  
   71.0       desr   -0.32   +0.88   -17.036  
   72.0       desr   -0.32   +0.88   -17.005  
   73.0       desr   -0.32   +0.88   -16.973  
   74.0       desr   -0.32   +0.88   -16.942  
   75.0       desr   -0.32   +0.88   -16.911  
   76.0       desr   -0.32   +0.88   -16.880  
   77.0       desr   -0.32   +0.88   -16.850  
   78.0       desr   -0.32   +0.88   -16.819  
   79.0       desr   -0.32   +0.88   -16.787  
   80.0       desr   -0.32   +0.88   -16.754  
  -15.0       desr   -0.30   +0.89   -16.699  
  -14.0       desr   -0.30   +0.89   -17.036  
  -13.0       desr   -0.30   +0.89   -17.362  
  -12.0       desr   -0.30   +0.89   -17.675  
  -11.0       desr   -0.30   +0.89   -17.973  
  -10.0       desr   -0.30   +0.89   -18.275  
   -9.0       desr   -0.30   +0.89   -18.597  
   -8.0       desr   -0.30   +0.89   -18.891  
   -7.0       desr   -0.30   +0.89   -19.102  
   -6.0       desr   -0.30   +0.89   -19.232  
   -5.0       desr   -0.30   +0.89   -19.313  
   -4.0       desr   -0.30   +0.89   -19.373  
   -3.0       desr   -0.30   +0.89   -19.419  
   -2.0       desr   -0.30   +0.89   -19.452  
   -1.0       desr   -0.30   +0.89   -19.474  
    0.0       desr   -0.30   +0.89   -19.486  
    1.0       desr   -0.30   +0.89   -19.488  
    2.0       desr   -0.30   +0.89   -19.480  
    3.0       desr   -0.30   +0.89   -19.463  
    4.0       desr   -0.30   +0.89   -19.446  
    5.0       desr   -0.30   +0.89   -19.429  
    6.0       desr   -0.30   +0.89   -19.407  
    7.0       desr   -0.30   +0.89   -19.378  
    8.0       desr   -0.30   +0.89   -19.342  
    9.0       desr   -0.30   +0.89   -19.298  
   10.0       desr   -0.30   +0.89   -19.242  
   11.0       desr   -0.30   +0.89   -19.161  
   12.0       desr   -0.30   +0.89   -19.080  
   13.0       desr   -0.30   +0.89   -19.007  
   14.0       desr   -0.30   +0.89   -18.943  
   15.0       desr   -0.30   +0.89   -18.897  
   16.0       desr   -0.30   +0.89   -18.875  
   17.0       desr   -0.30   +0.89   -18.853  
   18.0       desr   -0.30   +0.89   -18.835  
   19.0       desr   -0.30   +0.89   -18.827  
   20.0       desr   -0.30   +0.89   -18.819  
   21.0       desr   -0.30   +0.89   -18.803  
   22.0       desr   -0.30   +0.89   -18.784  
   23.0       desr   -0.30   +0.89   -18.768  
   24.0       desr   -0.30   +0.89   -18.755  
   25.0       desr   -0.30   +0.89   -18.742  
   26.0       desr   -0.30   +0.89   -18.728  
   27.0       desr   -0.30   +0.89   -18.709  
   28.0       desr   -0.30   +0.89   -18.684  
   29.0       desr   -0.30   +0.89   -18.653  
   30.0       desr   -0.30   +0.89   -18.614  
   31.0       desr   -0.30   +0.89   -18.568  
   32.0       desr   -0.30   +0.89   -18.514  
   33.0       desr   -0.30   +0.89   -18.454  
   34.0       desr   -0.30   +0.89   -18.391  
   35.0       desr   -0.30   +0.89   -18.329  
   36.0       desr   -0.30   +0.89   -18.265  
   37.0       desr   -0.30   +0.89   -18.200  
   38.0       desr   -0.30   +0.89   -18.138  
   39.0       desr   -0.30   +0.89   -18.081  
   40.0       desr   -0.30   +0.89   -18.028  
   41.0       desr   -0.30   +0.89   -17.980  
   42.0       desr   -0.30   +0.89   -17.936  
   43.0       desr   -0.30   +0.89   -17.894  
   44.0       desr   -0.30   +0.89   -17.855  
   45.0       desr   -0.30   +0.89   -17.816  
   46.0       desr   -0.30   +0.89   -17.778  
   47.0       desr   -0.30   +0.89   -17.741  
   48.0       desr   -0.30   +0.89   -17.703  
   49.0       desr   -0.30   +0.89   -17.668  
   50.0       desr   -0.30   +0.89   -17.631  
   51.0       desr   -0.30   +0.89   -17.595  
   52.0       desr   -0.30   +0.89   -17.561  
   53.0       desr   -0.30   +0.89   -17.529  
   54.0       desr   -0.30   +0.89   -17.499  
   55.0       desr   -0.30   +0.89   -17.470  
   56.0       desr   -0.30   +0.89   -17.441  
   57.0       desr   -0.30   +0.89   -17.413  
   58.0       desr   -0.30   +0.89   -17.385  
   59.0       desr   -0.30   +0.89   -17.356  
   60.0       desr   -0.30   +0.89   -17.325  
   61.0       desr   -0.30   +0.89   -17.294  
   62.0       desr   -0.30   +0.89   -17.262  
   63.0       desr   -0.30   +0.89   -17.230  
   64.0       desr   -0.30   +0.89   -17.199  
   65.0       desr   -0.30   +0.89   -17.169  
   66.0       desr   -0.30   +0.89   -17.140  
   67.0       desr   -0.30   +0.89   -17.111  
   68.0       desr   -0.30   +0.89   -17.084  
   69.0       desr   -0.30   +0.89   -17.056  
   70.0       desr   -0.30   +0.89   -17.027  
   71.0       desr   -0.30   +0.89   -16.998  
   72.0       desr   -0.30   +0.89   -16.967  
   73.0       desr   -0.30   +0.89   -16.935  
   74.0       desr   -0.30   +0.89   -16.903  
   75.0       desr   -0.30   +0.89   -16.872  
   76.0       desr   -0.30   +0.89   -16.841  
   77.0       desr   -0.30   +0.89   -16.809  
   78.0       desr   -0.30   +0.89   -16.779  
   79.0       desr   -0.30   +0.89   -16.747  
