  phase   passband   delta    dm15       mag  
   57.0       desr   -0.30   +0.89   -16.903  
   58.0       desr   -0.30   +0.89   -16.883  
   59.0       desr   -0.30   +0.89   -16.891  
   60.0       desr   -0.30   +0.89   -16.906  
   61.0       desr   -0.30   +0.89   -16.924  
   62.0       desr   -0.30   +0.89   -16.911  
   63.0       desr   -0.30   +0.89   -16.899  
   64.0       desr   -0.30   +0.89   -16.880  
   65.0       desr   -0.30   +0.89   -16.858  
   66.0       desr   -0.30   +0.89   -16.826  
   67.0       desr   -0.30   +0.89   -16.782  
   68.0       desr   -0.30   +0.89   -16.726  
   69.0       desr   -0.30   +0.89   -16.674  
   70.0       desr   -0.30   +0.89   -16.621  
   71.0       desr   -0.30   +0.89   -16.567  
   72.0       desr   -0.30   +0.89   -16.517  
   73.0       desr   -0.30   +0.89   -16.466  
   74.0       desr   -0.30   +0.89   -16.422  
   75.0       desr   -0.30   +0.89   -16.383  
   76.0       desr   -0.30   +0.89   -16.344  
   77.0       desr   -0.30   +0.89   -16.313  
   78.0       desr   -0.30   +0.89   -16.275  
   79.0       desr   -0.30   +0.89   -16.233  
