  phase   passband   delta    dm15       mag  
   34.0       desr   -0.32   +0.87   -17.349  
   35.0       desr   -0.32   +0.87   -17.307  
   36.0       desr   -0.32   +0.87   -17.264  
   37.0       desr   -0.32   +0.87   -17.221  
   38.0       desr   -0.32   +0.87   -17.173  
   39.0       desr   -0.32   +0.87   -17.123  
   40.0       desr   -0.32   +0.87   -17.076  
   41.0       desr   -0.32   +0.87   -17.036  
   42.0       desr   -0.32   +0.87   -17.001  
   43.0       desr   -0.32   +0.87   -16.972  
   44.0       desr   -0.32   +0.87   -16.945  
   45.0       desr   -0.32   +0.87   -16.924  
   46.0       desr   -0.32   +0.87   -16.910  
   47.0       desr   -0.32   +0.87   -16.900  
   48.0       desr   -0.32   +0.87   -16.892  
   49.0       desr   -0.32   +0.87   -16.884  
   50.0       desr   -0.32   +0.87   -16.875  
   51.0       desr   -0.32   +0.87   -16.863  
   52.0       desr   -0.32   +0.87   -16.849  
   53.0       desr   -0.32   +0.87   -16.831  
   54.0       desr   -0.32   +0.87   -16.809  
   55.0       desr   -0.32   +0.87   -16.784  
   56.0       desr   -0.32   +0.87   -16.757  
   57.0       desr   -0.32   +0.87   -16.728  
   58.0       desr   -0.32   +0.87   -16.699  
   59.0       desr   -0.32   +0.87   -16.672  
   60.0       desr   -0.32   +0.87   -16.648  
   61.0       desr   -0.32   +0.87   -16.626  
   62.0       desr   -0.32   +0.87   -16.607  
   63.0       desr   -0.32   +0.87   -16.590  
   64.0       desr   -0.32   +0.87   -16.574  
   65.0       desr   -0.32   +0.87   -16.559  
   66.0       desr   -0.32   +0.87   -16.546  
   67.0       desr   -0.32   +0.87   -16.534  
   68.0       desr   -0.32   +0.87   -16.525  
   69.0       desr   -0.32   +0.87   -16.517  
   70.0       desr   -0.32   +0.87   -16.510  
   71.0       desr   -0.32   +0.87   -16.504  
   72.0       desr   -0.32   +0.87   -16.497  
   73.0       desr   -0.32   +0.87   -16.489  
   74.0       desr   -0.32   +0.87   -16.479  
   75.0       desr   -0.32   +0.87   -16.467  
   76.0       desr   -0.32   +0.87   -16.453  
   77.0       desr   -0.32   +0.87   -16.439  
   78.0       desr   -0.32   +0.87   -16.425  
   79.0       desr   -0.32   +0.87   -16.410  
   80.0       desr   -0.32   +0.87   -16.397  
  -15.0       desr   -0.30   +0.89   -17.412  
  -14.0       desr   -0.30   +0.89   -17.769  
  -13.0       desr   -0.30   +0.89   -18.110  
  -12.0       desr   -0.30   +0.89   -18.418  
  -11.0       desr   -0.30   +0.89   -18.647  
  -10.0       desr   -0.30   +0.89   -18.860  
   -9.0       desr   -0.30   +0.89   -19.071  
   -8.0       desr   -0.30   +0.89   -19.279  
   -7.0       desr   -0.30   +0.89   -19.424  
   -6.0       desr   -0.30   +0.89   -19.549  
   -5.0       desr   -0.30   +0.89   -19.642  
   -4.0       desr   -0.30   +0.89   -19.720  
   -3.0       desr   -0.30   +0.89   -19.767  
   -2.0       desr   -0.30   +0.89   -19.801  
   -1.0       desr   -0.30   +0.89   -19.814  
    0.0       desr   -0.30   +0.89   -19.823  
    1.0       desr   -0.30   +0.89   -19.816  
    2.0       desr   -0.30   +0.89   -19.798  
    3.0       desr   -0.30   +0.89   -19.765  
    4.0       desr   -0.30   +0.89   -19.731  
    5.0       desr   -0.30   +0.89   -19.689  
    6.0       desr   -0.30   +0.89   -19.644  
    7.0       desr   -0.30   +0.89   -19.588  
    8.0       desr   -0.30   +0.89   -19.526  
    9.0       desr   -0.30   +0.89   -19.449  
   10.0       desr   -0.30   +0.89   -19.354  
   11.0       desr   -0.30   +0.89   -19.261  
   12.0       desr   -0.30   +0.89   -19.181  
   13.0       desr   -0.30   +0.89   -19.109  
   14.0       desr   -0.30   +0.89   -19.031  
   15.0       desr   -0.30   +0.89   -18.936  
   16.0       desr   -0.30   +0.89   -18.834  
   17.0       desr   -0.30   +0.89   -18.717  
   18.0       desr   -0.30   +0.89   -18.600  
   19.0       desr   -0.30   +0.89   -18.485  
   20.0       desr   -0.30   +0.89   -18.376  
   21.0       desr   -0.30   +0.89   -18.280  
   22.0       desr   -0.30   +0.89   -18.190  
   23.0       desr   -0.30   +0.89   -18.100  
   24.0       desr   -0.30   +0.89   -18.004  
   25.0       desr   -0.30   +0.89   -17.908  
   26.0       desr   -0.30   +0.89   -17.820  
   27.0       desr   -0.30   +0.89   -17.745  
   28.0       desr   -0.30   +0.89   -17.674  
   29.0       desr   -0.30   +0.89   -17.608  
   30.0       desr   -0.30   +0.89   -17.540  
   31.0       desr   -0.30   +0.89   -17.474  
   32.0       desr   -0.30   +0.89   -17.412  
   33.0       desr   -0.30   +0.89   -17.359  
   34.0       desr   -0.30   +0.89   -17.311  
   35.0       desr   -0.30   +0.89   -17.269  
